author_id,comment_id,comment_text,like_count,reply_count,video_title,publish_year,publish_month
UCg9YAxOMPfGBC0XYWbCCF5w,Ugy2C8zWfzs4KKiJoOx4AaABAg,"Machine learning merangkum dari berbagai sumber tapi harus dilatih juga sama manusia, gk bisa digunakan secara mentah-mentah. Kalkulus aja harus bisa kita terjemahkan sendiri Ai hanya membantu mengartikan tp belum bisa eksekusi.",0,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCuPFnhKnq9Y63u0FPbuLkgg,UgzjJHCWiP4XeTbl6Ll4AaABAg,Tiba2 pemerintah bikin tes AKM sekolah (isinya tes literasi dan numerasi) bbrp tahun ini. Hasilnya murid2 ku tergagap2 membaca soal2 yg membutuhkan kemampuan analitikal bahasa sejak dasar. Guru seperti hrs menjelaskan lagi berulang2 sampe masuk ke logika mereka 😅,1,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCljvRRFsq94-Nfw76ZeWLsQ,UgxwjqbEHFoUa5iHzuF4AaABAg,"Pola kegiatan belajar mengajar di sekolah pada masa kini menunjukkan perubahan yang sangat mendasar dibandingkan dengan generasi sebelumnya. Di hampir semua jenjang pendidikan—mulai dari SD, SMP, hingga SMA—penggunaan telepon genggam telah menjadi bagian dari aktivitas belajar sehari-hari di dalam kelas. Dalam pelaksanaan ulangan harian, siswa dengan mudah mengakses jawaban melalui Google, aplikasi AI, maupun sumber daring lainnya. Praktik ini menyebabkan proses berpikir kritis, analisis, dan literasi siswa tidak berkembang, karena jawaban diperoleh secara instan tanpa usaha intelektual yang memadai.",0,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCQKmg1CiNxdeleP6H_GqjSw,Ugw5GKwjxjYnl-Gcogp4AaABAg,"IMO kecerdasan buatan atau AI capable utk menjawab perspektif manusia dgn kehidupannya yg kompleks, sebab AI sudah dirancang dgn kemampuan ilmu psikologis. Ai tidak merasa tapi dia menganalitis agar dapat menjawab pertanyaan kita Kalau dikatakan ai blm mampu, dan tidak mumpuni. Maybe itu karena promt pertanyaan yg kita buat tidak jelas, dan spesifik",0,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCaehTSAJvzjyS7nyJ5C589A,UgyzyCIv6ZoQdlVvaQl4AaABAg,"🤔teladan itu mengajarkan, karena yang meneladani cenderung mencontohnya, literasi itu di pelajari, yang mempelajari akan tahu, mengerti bahkan menerapkannya. Bagaimana masa depan literasi Indonesia di era AI, jawaban ada pada Teladan, literasi serta AI itu sendiri.",1,1,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCIMN2XYcMNHR9GaFU_qu1dA,UgwqS0DZ67aZoN0Lut14AaABAg,Situasi kondisi makin memburuk ketika concentration span of a person has got shortened due to certain platforms like Shorts & Tiktok.,1,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCVH4WELIFL2_VRTyvwQuHSg,UgybokmgSK8gF2euUH54AaABAg,optimis banget dengan AI Pak Helmy 😆saya sih pesimis,0,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCyHqvb_B25-CmtB_67R0s6A,Ugyl_vpgkL6xkDEElYB4AaABAg,"Pendidikan di Indonesia terlalu mendewakan STEM, dia pikir kemajuan hanya bisa dengan STEM, mereka lupa bahwa STEM adalah buahnya, akarnya adalah literasi yang kokoh.",6,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCRkPLYBknml0OTCFQhE8UWw,UgyHBAbwvoEolAUEfTB4AaABAg,"Pak saya berasa ikut kuliah 😊 sambilan bekerja di rumah. Pekerjaan rumah beres plus dapat ilmu 😊saya pengguna AI juga pak, saya sadar harus lebih pandai dalam berbahasa dan menganalisis 😊thx u",0,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
UCcLg774RDWACPwnYGnoH3Mg,UgxvagWXc4H47kY89kl4AaABAg,"Tanpa literasi yang kuat, AI bukan alat pemerataan, melainkan faktor yang memperlebar kesenjangan pengetahuan dan kualitas sumber daya manusia.",1,0,Bagaimana Masa Depan Literasi Indonesia di Era AI? | Helmy Yahya Bicara,2025,12
